fold,model,time_fit_s,time_pred_all_worlds_s,time_shap_s,time_total_s
1,Logistic_L2,0.15574939999987691,0.1030786999999691,0.24649219999992056,0.5053202999997666
1,RandomForest,5.213775999999598,2.0930025000006935,465.1960117999997,472.5027903
1,ExtraTrees,2.7908801000003223,3.5003543000002537,2488.368690099999,2494.6599244999998
1,GradientBoosting,30.807547200000045,0.2920620999993844,1.3549585000000661,32.454567799999495
1,SVC_RBF,6.139596199999687,3.8708411999996315,0.0,10.010437399999319
1,MLP,9.48486960000082,0.19344879999971454,0.0,9.678318400000535
1,GaussianNB,0.08716670000012527,0.15427620000082243,0.0,0.2414429000009477
2,Logistic_L2,0.160063799999989,0.12131679999856715,0.15371950000007928,0.4351000999986354
2,RandomForest,7.438553299999512,3.2498556000018652,473.2552452,483.94365410000137
2,ExtraTrees,3.1014653000002,3.723642100001598,2412.910919099999,2419.7360265000007
2,GradientBoosting,30.39157890000024,0.33769159999792464,1.335480200001257,32.06475069999942
2,SVC_RBF,6.334670399999595,3.9325890999989497,0.0,10.267259499998545
2,MLP,7.628630600000179,0.20499390000077256,0.0,7.833624500000951
2,GaussianNB,0.09182090000103926,0.16465440000138187,0.0,0.25647530000242114
3,Logistic_L2,0.14261989999977231,0.12870089999887568,0.14874980000058713,0.42007059999923513
3,RandomForest,8.439678300001106,3.510530999999901,507.0679250000012,519.0181343000022
3,ExtraTrees,3.0105371000008745,3.7042850999987422,2364.9524144000006,2371.6672366000003
3,GradientBoosting,30.746412800001053,0.3094440999957442,1.3880328000013833,32.44388969999818
3,SVC_RBF,6.333547800000815,4.09454050000204,0.0,10.428088300002855
3,MLP,8.402305199999319,0.21242010000059963,0.0,8.614725299999918
3,GaussianNB,0.09016439999868453,0.17275030000200786,0.0,0.2629147000006924
4,Logistic_L2,0.14247590000013588,0.12369309999849065,0.16299489999983052,0.42916389999845705
4,RandomForest,8.44359650000115,3.5164454000023397,512.8404308999998,524.8004728000033
4,ExtraTrees,2.8968370000002324,3.335943900001439,2583.4564181000023,2589.689199000004
4,GradientBoosting,30.92097130000184,0.2926662999961991,1.4445709999999963,32.658208599998034
4,SVC_RBF,6.374183299998549,4.063712499999383,0.0,10.437895799997932
4,MLP,7.737603500001569,0.19597199999770964,0.0,7.933575499999279
4,GaussianNB,0.08606350000263774,0.15599030000521452,0.0,0.24205380000785226
5,Logistic_L2,0.13636549999864656,0.12598990000697086,0.1526226999994833,0.4149781000051007
5,RandomForest,7.568621999998868,3.2036803999981203,536.7770702000016,547.5493725999986
5,ExtraTrees,2.909783700000844,3.3061385999972117,2550.045081,2556.2610032999983
5,GradientBoosting,30.451564599999983,0.3192053999991913,1.5675005999983114,32.338270599997486
5,SVC_RBF,5.951926399997319,3.870837999998912,0.0,9.822764399996231
5,MLP,6.873947100000805,0.19870660000742646,0.0,7.072653700008232
5,GaussianNB,0.08925409999937983,0.16722829999707756,0.0,0.2564823999964574
6,Logistic_L2,0.1879253000006429,0.12030930001128581,0.14263019999998505,0.45086480001191376
6,RandomForest,7.6889807999978075,3.2228481999954965,488.1319026000019,499.0437315999952
6,ExtraTrees,2.9206185000002733,3.4951919999948586,2534.4421771999987,2540.857987699994
6,GradientBoosting,31.440037000000302,0.30988459999935003,1.4553182999989076,33.20523989999856
6,SVC_RBF,6.665335900001082,3.9975406999983534,0.0,10.662876599999436
6,MLP,7.883787300001131,0.20329669999409816,0.0,8.08708399999523
6,GaussianNB,0.08803080000143382,0.16211899999689194,0.0,0.25014979999832576
7,Logistic_L2,0.1696219999976165,0.12563349999982165,0.15345229999729781,0.448707799994736
7,RandomForest,7.821063999999751,3.3023290999954042,484.7796000999988,495.90299319999394
7,ExtraTrees,2.9043093000000226,3.6243738000011945,2347.085283200002,2353.613966300003
7,GradientBoosting,30.931764599998132,0.3047067000006791,1.365140000001702,32.60161130000051
7,SVC_RBF,6.203282599999511,3.7540843000024324,0.0,9.957366900001944
7,MLP,8.002108300002874,0.21633070000098087,0.0,8.218439000003855
7,GaussianNB,0.093349800001306,0.1717276000090351,0.0,0.2650774000103411
8,Logistic_L2,0.1478103999979794,0.13278380000338075,0.1661048000023584,0.44669900000371854
8,RandomForest,8.43754110000009,3.547766900006536,502.9222456999996,514.9075537000062
8,ExtraTrees,3.0018474999997125,3.664200200000778,2390.7205243999997,2397.3865721
8,GradientBoosting,29.81890420000127,0.33188459999655606,1.3348286000000371,31.485617399997864
8,SVC_RBF,6.22756059999665,3.9486659000067448,0.0,10.176226500003395
8,MLP,8.292403899999044,0.20802659999753814,0.0,8.500430499996583
8,GaussianNB,0.10308589999840478,0.18335950000255252,0.0,0.2864454000009573
9,Logistic_L2,0.14313699999911478,0.1325704999944719,0.1591392000009364,0.4348466999945231
9,RandomForest,8.289856999999756,3.479248700004973,511.10445609999806,522.8735618000028
9,ExtraTrees,2.828944099997898,3.2967993000020215,2633.620520299999,2639.746263699999
9,GradientBoosting,30.761749000001146,0.3145146000024397,1.4060147999989567,32.48227840000254
9,SVC_RBF,6.38467799999853,4.218415300001652,0.0,10.603093300000182
9,MLP,7.72047670000029,0.19426329999987502,0.0,7.914740000000165
9,GaussianNB,0.08276830000249902,0.16029960000378196,0.0,0.24306790000628098
10,Logistic_L2,0.145563600002788,0.12222459999975399,0.15116929999931017,0.41895750000185217
10,RandomForest,7.5359161000014865,3.2183966000011424,492.9746956000017,503.72900830000435
10,ExtraTrees,2.8898193999993964,3.332425400003558,2616.2915841000067,2622.5138289000097
10,GradientBoosting,30.84892370000307,0.3143816000010702,1.3577757000020938,32.521081000006234
10,SVC_RBF,6.16488229999959,3.9974764000144205,0.0,10.16235870001401
10,MLP,8.98189039999852,0.20194890000129817,0.0,9.183839299999818
10,GaussianNB,0.0848069999992731,0.15592080001079012,0.0,0.24072780001006322
11,Logistic_L2,0.17112209999322658,0.12149760000465903,0.1501819000040996,0.4428016000019852
11,RandomForest,7.470661799998197,3.2244914999901084,525.976255900001,536.6714091999893
11,ExtraTrees,2.8751118000000133,3.349472300003981,2627.8146484000026,2634.0392325000066
11,GradientBoosting,30.786490200000117,0.3115700999987894,1.356477499997709,32.454537799996615
11,SVC_RBF,6.466783999996551,4.207728400011547,0.0,10.674512400008098
11,MLP,7.294305900002655,0.21675290000712266,0.0,7.511058800009778
11,GaussianNB,0.09205700000165962,0.16421670001000166,0.0,0.2562737000116613
12,Logistic_L2,0.1648187000027974,0.12346330002037575,0.1483284999994794,0.43661050002265256
12,RandomForest,7.506608800002141,3.2283442999978433,480.9655702999953,491.7005233999953
12,ExtraTrees,3.0707665000009,3.7142513999860967,2366.883561499999,2373.668579399986
12,GradientBoosting,30.89933299999393,0.31021409999084426,1.4292027999981656,32.63874989998294
12,SVC_RBF,6.386906899999303,4.03025890000572,0.0,10.417165800005023
12,MLP,9.118948600000294,0.20357420000073034,0.0,9.322522800001025
12,GaussianNB,0.0895611000014469,0.16316909999295603,0.0,0.25273019999440294
13,Logistic_L2,0.159155200002715,0.12185829999361886,0.17025859999557724,0.4512720999919111
13,RandomForest,8.48822189999919,3.5219065999917802,491.64323039999726,503.65335889998823
13,ExtraTrees,3.0726943999979994,3.800555000001623,2403.4383279999965,2410.311577399996
13,GradientBoosting,30.760637899998983,0.3117647000035504,1.4483645000000251,32.52076710000256
13,SVC_RBF,6.27769470000203,3.9970641000109026,0.0,10.274758800012933
13,MLP,9.825192800002696,0.2000660999910906,0.0,10.025258899993787
13,GaussianNB,0.08830090000265045,0.16087760000664275,0.0,0.2491785000092932
14,Logistic_L2,0.17554160000145203,0.12695840000378666,0.15652740000223275,0.45902740000747144
14,RandomForest,8.371593500000017,3.48404290000326,552.6718490000057,564.527485400009
14,ExtraTrees,2.8890363999962574,3.3437340000091353,2567.5212178,2573.7539882000056
14,GradientBoosting,29.2163126000014,0.2932673999821418,1.353350600002159,30.862930599985702
14,SVC_RBF,5.821819500000856,3.957935299986275,0.0,9.779754799987131
14,MLP,6.750195299995539,0.19349840001086704,0.0,6.943693700006406
14,GaussianNB,0.08643589999701362,0.15631639999628533,0.0,0.24275229999329895
15,Logistic_L2,0.13369370000145864,0.11351070000091568,0.1416962000002968,0.3889006000026711
15,RandomForest,7.396597500002827,3.180684300001303,481.4145167000024,491.99179850000655
15,ExtraTrees,2.8987453000008827,3.379033100005472,2492.338649899997,2498.6164283000035
15,GradientBoosting,29.456196499995713,0.29760429998714244,1.5049689000006765,31.25876969998353
15,SVC_RBF,5.65099580000242,3.827510399984021,0.0,9.478506199986441
15,MLP,8.571893300002557,0.1985618999970029,0.0,8.77045519999956
15,GaussianNB,0.08477459999994608,0.1601398999991943,0.0,0.2449144999991404
